,Filename,Result#1_n,Result#1_Name,Result#1_Probability,Result#2_n,Result#2_Name,Result#2_Probability,Result#3_n,Result#3_Name,Result#3_Probability,Result#4_n,Result#4_Name,Result#4_Probability,Result#5_n,Result#5_Name,Result#5_Probability
0,0AKZCRZA.png,n03393912,freight_car,0.8375343084335327,n03272562,electric_locomotive,0.00841786339879036,n03895866,passenger_car,0.006853166967630386,n04467665,trailer_truck,0.005149393808096647,n04310018,steam_locomotive,0.0026815668679773808
1,0PYwg4mI.png,n04133789,sandal,0.48465073108673096,n03450230,gown,0.04271221160888672,n03047690,clog,0.03482098504900932,n03991062,pot,0.026766229420900345,n07768694,pomegranate,0.02125738188624382
2,0cbjzEYU.png,n02980441,castle,0.5289949178695679,n02930766,cab,0.06963314861059189,n03028079,church,0.03755656257271767,n03877845,palace,0.023438818752765656,n04435653,tile_roof,0.017239563167095184
3,1002.png,n09193705,alp,0.5740691423416138,n09468604,valley,0.13544608652591705,n09246464,cliff,0.11217823624610901,n09472597,volcano,0.022503606975078583,n03792972,mountain_tent,0.014373266138136387
4,1122.png,n02006656,spoonbill,0.5264620780944824,n02009912,American_egret,0.28790077567100525,n02012849,crane,0.024970078840851784,n02051845,pelican,0.005219507496803999,n01819313,sulphur-crested_cockatoo,0.004988071043044329
5,1432.png,n02999410,chain,0.8305172324180603,n03532672,hook,0.03586241602897644,n03627232,knot,0.026631401851773262,n03874599,padlock,0.004401965998113155,n03000134,chainlink_fence,0.003415721235796809
6,15OshbSL.png,n09229709,bubble,0.1295146644115448,n04325704,stole,0.08446536213159561,n03594734,jean,0.08342289924621582,n02111129,Leonberg,0.045788154006004333,n02769748,backpack,0.04527398198843002
7,1952.png,n01440764,tench,0.20883874595165253,n02963159,cardigan,0.06323318928480148,n04370456,sweatshirt,0.06005024537444115,n07697537,hotdog,0.025309065356850624,n02113624,toy_poodle,0.01933988183736801
8,1GM0KHq0.png,n03393912,freight_car,0.4732726514339447,n03895866,passenger_car,0.12471885234117508,n03697007,lumbermill,0.09260428696870804,n02859443,boathouse,0.026981528848409653,n09421951,sandbar,0.0184821467846632
9,1GjI0YIS.png,n04467665,trailer_truck,0.11858650296926498,n04532670,viaduct,0.06428317725658417,n03841143,odometer,0.05987772345542908,n01755581,diamondback,0.056217923760414124,n04366367,suspension_bridge,0.055972591042518616
10,1JjDOfGV.png,n09399592,promontory,0.4331655502319336,n03743016,megalith,0.18793633580207825,n09428293,seashore,0.06538210064172745,n09246464,cliff,0.04353160783648491,n09421951,sandbar,0.008523686788976192
11,1U1JtTj5.png,n03733281,maze,0.16042794287204742,n01755581,diamondback,0.15100476145744324,n04560804,water_jug,0.10047120600938797,n02454379,armadillo,0.077336885035038,n09421951,sandbar,0.0631500855088234
12,1UXZfhm4.png,n09332890,lakeside,0.930633008480072,n09421951,sandbar,0.00771696912124753,n02894605,breakwater,0.005893077701330185,n09428293,seashore,0.002905825851485133,n04350905,suit,0.0026451435405761003
13,1hE4hLmY.png,n02788148,bannister,0.38380205631256104,n03933933,pier,0.24505092203617096,n04366367,suspension_bridge,0.23494510352611542,n04005630,prison,0.03644591197371483,n04311004,steel_arch_bridge,0.010742202401161194
14,1qi37zp9.png,n03676483,lipstick,0.691581130027771,n03814906,necklace,0.09815972298383713,n03476684,hair_slide,0.04269253462553024,n04584207,wig,0.04056728258728981,n03476991,hair_spray,0.011168819852173328
15,2372.png,n03891251,park_bench,0.8728921413421631,n02747177,ashcan,0.0028568559791892767,n09332890,lakeside,0.0020120583940297365,n04515003,upright,0.0011207818752154708,n03452741,grand_piano,0.0010046182433143258
16,2462.png,n02319095,sea_urchin,0.5547105669975281,n07730033,cardoon,0.2860722839832306,n02655020,puffer,0.025564851239323616,n01914609,sea_anemone,0.01951923780143261,n01784675,centipede,0.0060353996232151985
17,2482.png,n09428293,seashore,0.7016599178314209,n09421951,sandbar,0.07216396927833557,n09332890,lakeside,0.034408871084451675,n09399592,promontory,0.017830602824687958,n02894605,breakwater,0.010349621996283531
18,2492.png,n02219486,ant,0.33098962903022766,n02206856,bee,0.2895805239677429,n11939491,daisy,0.08976048976182938,n02281406,sulphur_butterfly,0.05681662634015083,n01833805,hummingbird,0.034259289503097534
19,2572.png,n02788148,bannister,0.7156294584274292,n04005630,prison,0.07734482735395432,n04336792,stretcher,0.006194029934704304,n03888605,parallel_bars,0.0041421265341341496,n04201297,shoji,0.0027394876815378666
20,2632.png,n04325704,stole,0.22703678905963898,n02963159,cardigan,0.1387915462255478,n03770439,miniskirt,0.06156829744577408,n03124043,cowboy_boot,0.044746436178684235,n07802026,hay,0.043601371347904205
21,2712.png,n09468604,valley,0.3429724872112274,n03160309,dam,0.27584344148635864,n09288635,geyser,0.033304449170827866,n02894605,breakwater,0.025692595168948174,n03388043,fountain,0.017262622714042664
22,2952.png,n03837869,obelisk,0.6839438080787659,n02814860,beacon,0.07522697001695633,n09332890,lakeside,0.04788123816251755,n04286575,spotlight,0.014677097089588642,n09428293,seashore,0.011543868109583855
23,3342.png,n04335435,streetcar,0.41168341040611267,n03895866,passenger_car,0.1497490257024765,n03769881,minibus,0.14136436581611633,n04487081,trolleybus,0.022387566044926643,n02930766,cab,0.012253045104444027
24,3732.png,n04317175,stethoscope,0.4175969362258911,n03630383,lab_coat,0.34080439805984497,n04355933,sunglass,0.0405765064060688,n04356056,sunglasses,0.040071167051792145,n02865351,bolo_tie,0.0029110372997820377
25,3892.png,n03976657,pole,0.9706721305847168,n06794110,street_sign,0.0022623699624091387,n03891332,parking_meter,0.0010888666147366166,n06874185,traffic_light,0.001016165129840374,n03355925,flagpole,0.0008923959103412926
26,38aOJGmc.png,n06794110,street_sign,0.09786467254161835,n03661043,library,0.07476590573787689,n06874185,traffic_light,0.05853161960840225,n04149813,scoreboard,0.05274272710084915,n04258138,solar_dish,0.05130109563469887
27,3HtNl6m1.png,n03792782,mountain_bike,0.8329424262046814,n03208938,disk_brake,0.09261303395032883,n02999410,chain,0.0020922052208334208,n04235860,sleeping_bag,0.0020065356511622667,n02835271,bicycle-built-for-two,0.0012654396705329418
28,3LMlKF8J.png,n02130308,cheetah,0.718350887298584,n02117135,hyena,0.0656236782670021,n02128385,leopard,0.020279385149478912,n02391049,zebra,0.01843291148543358,n02437312,Arabian_camel,0.013148332014679909
29,3dvapOjm.png,n06874185,traffic_light,0.29074084758758545,n06794110,street_sign,0.22767122089862823,n04311004,steel_arch_bridge,0.17399507761001587,n02930766,cab,0.04409880191087723,n03933933,pier,0.03102053329348564
30,3qJF9mJq.png,n03595614,jersey,0.4592553675174713,n03976657,pole,0.04044495150446892,n06794110,street_sign,0.029406754299998283,n03770439,miniskirt,0.018212391063570976,n03594734,jean,0.017382826656103134
31,3zjXPhH6.png,n03188531,diaper,0.8048185706138611,n02786058,Band_Aid,0.004278657026588917,n02869837,bonnet,0.0038638324476778507,n07615774,ice_lolly,0.001621956704184413,n03887697,paper_towel,0.001571310218423605
32,4112.png,n02894605,breakwater,0.32315385341644287,n09332890,lakeside,0.18105381727218628,n02025239,ruddy_turnstone,0.06488604843616486,n09428293,seashore,0.05726233869791031,n02037110,oystercatcher,0.02353346347808838
33,4342.png,n03877845,palace,0.37091344594955444,n04486054,triumphal_arch,0.28775081038475037,n02825657,bell_cote,0.21119745075702667,n03220513,dome,0.023278161883354187,n02708093,analog_clock,0.011516093276441097
34,4532.png,n03930313,picket_fence,0.4257296323776245,n04604644,worm_fence,0.37246543169021606,n03976657,pole,0.0192185677587986,n02894605,breakwater,0.008454956114292145,n02843684,birdhouse,0.00723046250641346
35,4542.png,n02980441,castle,0.8952245116233826,n03781244,monastery,0.021092087030410767,n03028079,church,0.005012053530663252,n09468604,valley,0.0036122093442827463,n02825657,bell_cote,0.002325149718672037
36,4GhWdDgL.png,n03776460,mobile_home,0.650597333908081,n03891251,park_bench,0.1631762534379959,n03770439,miniskirt,0.01718328893184662,n03899768,patio,0.007529504597187042,n03895866,passenger_car,0.005048390943557024
37,5022.png,n03781244,monastery,0.7645325660705566,n03028079,church,0.07560565322637558,n02980441,castle,0.0714096873998642,n03877845,palace,0.004000395070761442,n02825657,bell_cote,0.0024769625160843134
38,5392.png,n09246464,cliff,0.34583455324172974,n03837869,obelisk,0.0891207829117775,n04346328,stupa,0.04782134294509888,n09332890,lakeside,0.04774223640561104,n09468604,valley,0.03698546439409256
39,571OQBB3.png,n04069434,reflex_camera,0.6604001522064209,n03657121,lens_cap,0.1602022349834442,n07930864,cup,0.010542330332100391,n04485082,tripod,0.00467750383540988,n03692522,loupe,0.0030375984497368336
40,5RvkxlEn.png,n03947888,pirate,0.6256565451622009,n03216828,dock,0.14710579812526703,n04147183,schooner,0.07501547783613205,n02894605,breakwater,0.011964699253439903,n03673027,liner,0.01066653709858656
41,5bUMtSIR.png,n03160309,dam,0.723514974117279,n03388043,fountain,0.03753857687115669,n09468604,valley,0.01903114654123783,n03930313,picket_fence,0.018956264480948448,n09246464,cliff,0.007806099951267242
42,5jZ7JEaf.png,n03028079,church,0.5411263704299927,n04589890,window_screen,0.1499982625246048,n04523525,vault,0.09436259418725967,n02699494,altar,0.03363138809800148,n03220513,dome,0.019645998254418373
43,5sMX8TjO.png,n03938244,pillow,0.16438725590705872,n04380533,table_lamp,0.15328474342823029,n04522168,vase,0.116139255464077,n03637318,lampshade,0.05442231893539429,n03899768,patio,0.051014889031648636
44,61a6Lr0z.png,n03891251,park_bench,0.558974027633667,n09332890,lakeside,0.07671745121479034,n01819313,sulphur-crested_cockatoo,0.07277300953865051,n02098105,soft-coated_wheaten_terrier,0.03517121821641922,n01806143,peacock,0.018900325521826744
45,76YyJwJY.png,n09246464,cliff,0.9706025123596191,n09399592,promontory,0.009750929661095142,n09472597,volcano,0.003586812177672982,n02894605,breakwater,0.001355340238660574,n09428293,seashore,0.000886781606823206
46,76jFmOA9.png,n03126707,crane,0.5181063413619995,n06874185,traffic_light,0.1425234079360962,n04371774,swing,0.04504752531647682,n02930766,cab,0.041820090264081955,n03355925,flagpole,0.021005621179938316
47,7OKvzizH.png,n09468604,valley,0.2633953392505646,n02963159,cardigan,0.20640844106674194,n09246464,cliff,0.07625638693571091,n04370456,sweatshirt,0.0739547535777092,n09193705,alp,0.040258247405290604
48,7hELOk55.png,n09332890,lakeside,0.1674380600452423,n03930313,picket_fence,0.09857501834630966,n03028079,church,0.06645072251558304,n03891251,park_bench,0.06629343330860138,n02793495,barn,0.049805089831352234
49,8VsJwN6h.png,n04275548,spider_web,0.7395099997520447,n02843684,birdhouse,0.015540284104645252,n09332890,lakeside,0.012003259733319283,n01582220,magpie,0.010029883123934269,n01828970,bee_eater,0.0062751369550824165
50,8uJvuh9c.png,n02492035,capuchin,0.3257417678833008,n02492660,howler_monkey,0.25757187604904175,n02493793,spider_monkey,0.12480606883764267,n02500267,indri,0.02385086379945278,n02488702,colobus,0.019819408655166626
51,912.png,n03792782,mountain_bike,0.6103933453559875,n09246464,cliff,0.1390945017337799,n09468604,valley,0.09476713091135025,n09332890,lakeside,0.005215056240558624,n09193705,alp,0.005141110625118017
52,9OjeQH6M.png,n02837789,bikini,0.26077595353126526,n04136333,sarong,0.13103830814361572,n03710637,maillot,0.08621805906295776,n03770439,miniskirt,0.07055062055587769,n03710721,maillot,0.06658762693405151
53,9zHgXPOC.png,n04296562,stage,0.317516028881073,n03594734,jean,0.31495600938796997,n04370456,sweatshirt,0.1375572383403778,n03595614,jersey,0.0177085492759943,n04286575,spotlight,0.012797543779015541
54,AVCp2OuH.png,n04044716,radio_telescope,0.7938650250434875,n04355338,sundial,0.1209011822938919,n04258138,solar_dish,0.026295429095625877,n03956157,planetarium,0.007142151240259409,n03220513,dome,0.0035423613153398037
55,AfQjsi4W.png,n03976657,pole,0.8681671619415283,n04458633,totem_pole,0.002704809419810772,n03733131,maypole,0.002321000210940838,n06874185,traffic_light,0.001959327608346939,n06794110,street_sign,0.0012988855596631765
56,Aou9FnAk.png,n04532670,viaduct,0.7587814331054688,n02894605,breakwater,0.1106056496500969,n03933933,pier,0.014354381710290909,n03160309,dam,0.00839979387819767,n09332890,lakeside,0.002485410775989294
57,ArTcMtzr.png,n04335435,streetcar,0.5194690823554993,n02930766,cab,0.18128667771816254,n03599486,jinrikisha,0.01627386547625065,n02747177,ashcan,0.015356332994997501,n04486054,triumphal_arch,0.013031445443630219
58,C2sW02Pb.png,n04326547,stone_wall,0.1487571895122528,n04599235,wool,0.11858074367046356,n04409515,tennis_ball,0.07409077882766724,n04325704,stole,0.03652326017618179,n12985857,coral_fungus,0.02961462363600731
59,C5dRF6Bx.png,n04486054,triumphal_arch,0.7246862649917603,n03837869,obelisk,0.0998140424489975,n02825657,bell_cote,0.013241389766335487,n03903868,pedestal,0.007691644597798586,n02930766,cab,0.004067386034876108
60,CA0apLYe.png,n07615774,ice_lolly,0.5321576595306396,n11879895,rapeseed,0.0576598234474659,n09229709,bubble,0.03977448120713234,n03770439,miniskirt,0.027908777818083763,n02837789,bikini,0.02234228327870369
